id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,cabang_pelayanan,jumlah_kendaraan,satuan,tahun
123,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,KABUPATEN BANDUNG BARAT (PADALARANG),403739,UNIT,2016
124,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,KABUPATEN PANGANDARAN,62767,UNIT,2016
125,32,JAWA BARAT,3271,KOTA BOGOR,KOTA BOGOR,295467,UNIT,2016
126,32,JAWA BARAT,3272,KOTA SUKABUMI,KOTA SUKABUMI,78908,UNIT,2016
127,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG I (PAJAJARAN),441258,UNIT,2016
128,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG II (KAWALUYAAN),433764,UNIT,2016
129,32,JAWA BARAT,3273,KOTA BANDUNG,KOTA BANDUNG III (SOEKARNO HATTA),361974,UNIT,2016
130,32,JAWA BARAT,3274,KOTA CIREBON,KOTA CIREBON,128327,UNIT,2016
131,32,JAWA BARAT,3275,KOTA BEKASI,KOTA BEKASI,983046,UNIT,2016
132,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK I,480081,UNIT,2016
133,32,JAWA BARAT,3276,KOTA DEPOK,KOTA DEPOK II (CINERE),235929,UNIT,2016
134,32,JAWA BARAT,3277,KOTA CIMAHI,KOTA CIMAHI,220407,UNIT,2016
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,KOTA TASIKMALAYA,168447,UNIT,2016
136,32,JAWA BARAT,3279,KOTA BANJAR,KOTA BANJAR,50255,UNIT,2016
137,32,JAWA BARAT,3201,KABUPATEN BOGOR,KABUPATEN BOGOR (CIBINONG),869583,UNIT,2017
138,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI I (CIBADAK),208120,UNIT,2017
139,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KABUPATEN SUKABUMI II (PELABUHAN RATU),93946,UNIT,2017
140,32,JAWA BARAT,3203,KABUPATEN CIANJUR,KABUPATEN CIANJUR,274769,UNIT,2017
141,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG I (RANCAEKEK),334392,UNIT,2017
142,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KABUPATEN BANDUNG II (SOREANG),387099,UNIT,2017
143,32,JAWA BARAT,3205,KABUPATEN GARUT,KABUPATEN GARUT,254638,UNIT,2017
144,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,KABUPATEN TASIKMALAYA,201793,UNIT,2017
145,32,JAWA BARAT,3207,KABUPATEN CIAMIS,KABUPATEN CIAMIS I,193934,UNIT,2017
146,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,KABUPATEN KUNINGAN,225790,UNIT,2017
147,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON I (SUMBER),295756,UNIT,2017
148,32,JAWA BARAT,3209,KABUPATEN CIREBON,KABUPATEN CIREBON II (CILEDUG),145982,UNIT,2017
149,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,KABUPATEN MAJALENGKA,243924,UNIT,2017
150,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,KABUPATEN SUMEDANG,203542,UNIT,2017
151,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU I,211782,UNIT,2017
152,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,KABUPATEN INDRAMAYU II (HAURGEULIS),86257,UNIT,2017
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,KABUPATEN SUBANG,245528,UNIT,2017
154,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,KABUPATEN PURWAKARTA,176402,UNIT,2017
